id,especie,nome_comum,grupo,ciclo,altura_min,altura_max,habito,origem,precipitacao_min,precipitacao_max,temp_min,temp_max,tolerancia_seca,tolerancia_encharcamento,tolerancia_frio_geada,tolerancia_sombra,tropical,cerrado,subtropical,subtropical_secundario,temperado,subtropical_quente,subtropical_de_altitude,subtropical_umido,subtropical_frio,quente,chuvoso,semiarido,subtropical_semiarido,tropical_altitude,estacao_fria,quente_umido,tropical_umido,temperado_frio,temperado_medio,regioes_frias,tolerancia_acidez,ph_min,ph_max,tolerancia_aluminio,exigencia_fertilidade,drenagem_solo,textura_solo,controle_plantas_daninhas,controle_plantas_pragas_doencas,profundidade_raiz_min,profundidade_raiz_max,produtividade_minima_ms,produtividade_maxima_ms,proteina_min,proteina_max,digestibilidade,biomassa_min,biomassa_max,tolerancia_pastejo,rebrota,persistencia,pastejo,pastagem,consorcio,cobertura_solo,recuperacao_area_degradadas,sistemas_agroflorestais,fenacao,integracao_lavoura_pecuaria,rotacao_culturas,reforma_canaviais,plantio_direto,ILPF,culturas_perenes,fitorremediacao,alimentacao_animal,silagem,capineiras,quebra_vento,consorcio_milho,adubacao_verde,cobertura_vegetal,controle_erosao,controle_nematoides,consorcio_perenes,recuperacao_solos,forragem,preenchimento_devazio_forrageiro,alimentacao_humana,banco_proteinas,producao_oleo,biomassa,rotacao_milho,consorcio_gramineas,reforma_pastagem,graos,sucessao_culturas,consorcio_forrageiras,controle_ervadaninha,controle de nematoides,diversificacao_biologica,aumento_materia_organica ,forragem_ruminantes,incremento_materia_organica,ciclagem_nutrientes,sucessao_milho,sucessao_soja,sucessao_algodao,sucessao_feijao,algodao,mucuna,guandu,cobertura_permanente,forragem_frescca,feno,melhoria_fertilidade_solo,geracao_palhada,consorcio_leguminosas,rotacao_cultura_solos_pobres_acidos,rotacao_cultura_inverno,melhoria_estrutura_solo,descompactacao_solo,protecao_solo,melhoria_quimica_solo,melhoria_fisica_biologica,conservacao_solo,cobertura_morta_SPD,cobertura_inverno,reciclagem_nutrientes,equilibrio_microbiologico_solo,antecessora_milho,forragem_inverno,rotacao_leguminosas,ciclagem_nutrientes,incorporacao_materia_organica,biodisel,racao_animal,controle_doencas_radiculares,producao_graos_malteacao,cultivo_entrelinhas_frutiferas,planta_cobertura,fornecimento_nitrogenio,triticale,crotalaria,graos_seco_alimentacao_animal,forragem_verde,pastejo_consorciado_gramineas,rotacao_soja,rotacao_feijao,rotacao_algodao,controle_biologico_compactacao_solo,materiaprima_biocombustivel,recuperacao_solos_compactados,recuperacao_solos_baixa_retencaohidrica,consorcio_aveia,consorcio_nabo_forrageiro,consorcio_triticale,fornecimento_p_solo,pastejo_direto,fixacao_biologica_nitrogenio,quebra_ciclo_patogenos_leguminosas,quebra_ciclo_patogenos_hortalica,altenativa_milho_regioes_frias,rotacao_cevada,rotacao_trigo,rotacao_centeio,rotacao_triticale,melhoria_estrutura_areacao_solo,aumento_ciclagem_disponibilidade_ N,corte_verde,forragem_pastejo,uso_desmama,uso_maternidade,pre-secado,producao_sementes,recuperacao_pastagem,farinha,revegetacao_areas_contaminadas,producao_fibras,atracao_polinizadores,controle_biologico,medicina_popular,aumento_proteina_pastagem,pecuaria_leiteira,pecuaria_corte,pastagem_consorciada,pastagens_inverno,ovinos,equinos
1,Arachis pintoi,Amendoin forrageiro,leguminosa,perene,0.1,0.3,rasteiro,brasil,1000,NA,NA,NA,moderada,baixa,moderada,alta,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,alta,media,bem drenado,arenoso-argiloso,sim,NA,0.2,0.6,20,NA,20,NA,65,40,40,media,media,alta,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Andropogon gayanus,Andropogon,graminea,perene,1.5,3,cespitoso,Africa,500,2000,18,28,alta,baixa,baixa,baixa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.0,5.5,moderada,baixa,bem drenado,"arenoso, franco-argiloso",NA,sim,1.5,0.2,5,15,3.4,9.7,53,20,30,alta,alta,alta,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Urochloa brizantha,Braquiárias,graminea,perene,1.0,1.8,cespitoso,Africa Equatorial,700,2500,28,38,alta,baixa,baixa,baixa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,4.0,6.5,alta,alta,bem drenado,medio-argiloso,sim,sim,1.0,1.5,8,20,12,NA,55,12,27,alta,media,alta,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Urochloa decumbens,Braquiárias,graminea,perene,0.5,1.5,rasteiro,Africa Equatorial,870,NA,20,32,moderada,moderada,alta,moderada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.0,5.5,alta,media,não tolera solos encharcados,NA,sim,sim,1.0,1.5,12,15,4.3,13.5,55,20,30,alta,media,alta,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Urochloa ruziziensis,Braquiárias,graminea,perene,0.5,1.5,semi-ereto,Africa Equatorial,870,NA,28,38,moderada,baixa,baixa a media,moderada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,4.9,7.0,moderada,alta,bem drenado,leve a muito pesado,sim,NA,0.8,1.2,12,16,12,"14,6",55,20,40,media,media,media (semiperene),0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pennisetum purpureum,Capim elefante,graminea,perene,0.8,6,cespitoso,Africa,800,4000,18,30,moderada,baixa,baixa,baixa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.0,7.5,baixa,alta,bem drenado,medio-argiloso,alta,baixa,0.2,3.0,20,50,15,NA,55,150,200,media,alta,alta,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Eleusine coracana,capim-pé-de-galinha-gigante,graminea,anual,0.5,1.2,ereto,Africa Oriental ,1000,NA,11,27,moderada,baixa,media,baixa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5,8.2,NA,alta,bem drenado,NA,NA,NA,0.2,0.3,7.4,12.6,12,NA,65,25,40,alta,media,baixa,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sorghum sudanense,Capim -Sudão,graminea,anual,0.5,1.5,ereto,Africa,350,700,11,34,alta,baixa,muito baixa,baixa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,5.0,7.5,moderada,media,bem drenado,arenoso-medio,alto,moderada,1.5,2.5,15,20,15,NA,65,30,50,alta,alta,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Crotalaria breviflora,Crotalária Breviflora,leguminosa,anual ,0.6,1.5,arbustivo,India,NA,NA,NA,NA,moderada,baixa,muito baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,4.5,6.5,moderada,media,boa,arenoso-medio,alta,alta,1.0,1.8,3,5,NA,NA,NA,15,20,NA,NA,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Crotalaria juncea,Crotalária Júncea,leguminosa,anual ,1.0,3.0,arbustivo,India,800,NA,NA,NA,alta,baixa,baixa,moderada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,5.0,7.5,moderada,media,boa,arenoso-medio,alta,alta,1.5,2.5,10,15,NA,NA,NA,20,30,nao_aplicavel,NA,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
